Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
48,10,7,188,2,Some Random Commen with Id 48
49,11,3,82,0,Some Random Commen with Id 49
50,11,3,132,5,Some Random Commen with Id 50
51,11,3,66,6,Some Random Commen with Id 51
52,12,2,185,3,Some Random Commen with Id 52
53,12,2,22,4,Some Random Commen with Id 53
54,12,2,137,7,Some Random Commen with Id 54
55,12,2,139,0,Some Random Commen with Id 55
56,12,2,39,1,Some Random Commen with Id 56
57,12,2,146,0,Some Random Commen with Id 57
58,13,5,78,1,Some Random Commen with Id 58
59,13,5,54,3,Some Random Commen with Id 59
60,13,5,170,0,Some Random Commen with Id 60
61,13,5,120,0,Some Random Commen with Id 61
62,13,5,135,7,Some Random Commen with Id 62
63,13,5,117,8,Some Random Commen with Id 63
64,13,5,162,4,Some Random Commen with Id 64
65,14,4,186,4,Some Random Commen with Id 65
66,14,4,186,8,Some Random Commen with Id 66
67,14,4,135,1,Some Random Commen with Id 67
68,14,4,12,7,Some Random Commen with Id 68
69,14,4,38,6,Some Random Commen with Id 69
70,14,4,14,6,Some Random Commen with Id 70
71,14,4,1,7,Some Random Commen with Id 71
72,14,4,66,6,Some Random Commen with Id 72
73,14,4,67,7,Some Random Commen with Id 73
74,16,1,139,5,Some Random Commen with Id 74
75,16,1,196,6,Some Random Commen with Id 75
76,16,1,19,1,Some Random Commen with Id 76
77,16,1,171,2,Some Random Commen with Id 77
78,17,6,198,2,Some Random Commen with Id 78
79,17,6,95,9,Some Random Commen with Id 79
80,17,6,189,9,Some Random Commen with Id 80
81,17,6,7,7,Some Random Commen with Id 81
82,17,6,94,9,Some Random Commen with Id 82
83,18,9,118,6,Some Random Commen with Id 83
84,18,9,148,4,Some Random Commen with Id 84
85,18,9,95,0,Some Random Commen with Id 85
86,19,5,55,5,Some Random Commen with Id 86
87,19,5,160,9,Some Random Commen with Id 87
88,19,5,129,4,Some Random Commen with Id 88
89,19,5,143,1,Some Random Commen with Id 89
90,19,5,141,9,Some Random Commen with Id 90
91,20,8,26,1,Some Random Commen with Id 91
92,20,8,35,7,Some Random Commen with Id 92
93,20,8,36,7,Some Random Commen with Id 93
94,20,8,78,5,Some Random Commen with Id 94
95,20,8,153,3,Some Random Commen with Id 95
96,20,8,112,8,Some Random Commen with Id 96
97,20,8,141,1,Some Random Commen with Id 97
98,20,8,91,2,Some Random Commen with Id 98
99,20,8,93,1,Some Random Commen with Id 99
100,21,3,160,4,Some Random Commen with Id 100
101,22,3,145,4,Some Random Commen with Id 101
102,22,3,166,3,Some Random Commen with Id 102
103,22,3,42,8,Some Random Commen with Id 103
104,23,8,75,7,Some Random Commen with Id 104
105,24,6,8,4,Some Random Commen with Id 105
106,24,6,166,3,Some Random Commen with Id 106
107,24,6,176,7,Some Random Commen with Id 107
108,24,6,138,5,Some Random Commen with Id 108
109,24,6,66,3,Some Random Commen with Id 109
110,24,6,155,6,Some Random Commen with Id 110
111,25,0,27,6,Some Random Commen with Id 111
112,25,0,16,7,Some Random Commen with Id 112
113,25,0,144,4,Some Random Commen with Id 113
114,25,0,105,6,Some Random Commen with Id 114
115,25,0,116,3,Some Random Commen with Id 115
116,27,2,157,3,Some Random Commen with Id 116
117,27,2,76,7,Some Random Commen with Id 117
118,27,2,173,7,Some Random Commen with Id 118
119,27,2,194,8,Some Random Commen with Id 119
120,28,4,4,6,Some Random Commen with Id 120
121,29,9,169,0,Some Random Commen with Id 121
122,29,9,9,0,Some Random Commen with Id 122
123,29,9,112,4,Some Random Commen with Id 123
124,29,9,83,1,Some Random Commen with Id 124
125,29,9,28,9,Some Random Commen with Id 125
126,29,9,61,0,Some Random Commen with Id 126
127,30,8,25,9,Some Random Commen with Id 127
128,30,8,128,5,Some Random Commen with Id 128
129,30,8,163,3,Some Random Commen with Id 129
130,30,8,32,7,Some Random Commen with Id 130
131,30,8,103,9,Some Random Commen with Id 131
132,31,8,0,7,Some Random Commen with Id 132
133,32,6,22,7,Some Random Commen with Id 133
134,32,6,160,9,Some Random Commen with Id 134
135,32,6,95,4,Some Random Commen with Id 135
136,32,6,164,7,Some Random Commen with Id 136
137,32,6,125,9,Some Random Commen with Id 137
138,32,6,169,7,Some Random Commen with Id 138
139,32,6,96,4,Some Random Commen with Id 139
140,34,1,89,5,Some Random Commen with Id 140
141,34,1,105,0,Some Random Commen with Id 141
142,35,8,34,8,Some Random Commen with Id 142
143,35,8,166,3,Some Random Commen with Id 143
144,35,8,33,9,Some Random Commen with Id 144
145,35,8,36,1,Some Random Commen with Id 145
146,35,8,69,7,Some Random Commen with Id 146
147,35,8,180,0,Some Random Commen with Id 147
148,35,8,135,0,Some Random Commen with Id 148
149,36,3,43,8,Some Random Commen with Id 149
150,36,3,21,6,Some Random Commen with Id 150
151,37,3,110,4,Some Random Commen with Id 151
152,37,3,8,1,Some Random Commen with Id 152
153,37,3,73,9,Some Random Commen with Id 153
154,37,3,28,2,Some Random Commen with Id 154
155,37,3,51,7,Some Random Commen with Id 155
156,37,3,3,1,Some Random Commen with Id 156
157,37,3,87,4,Some Random Commen with Id 157
158,37,3,39,1,Some Random Commen with Id 158
159,38,7,26,7,Some Random Commen with Id 159
160,38,7,129,8,Some Random Commen with Id 160
161,38,7,70,6,Some Random Commen with Id 161
162,38,7,172,0,Some Random Commen with Id 162
163,38,7,95,7,Some Random Commen with Id 163
164,38,7,108,0,Some Random Commen with Id 164
165,38,7,109,7,Some Random Commen with Id 165
166,38,7,63,4,Some Random Commen with Id 166
167,39,0,101,1,Some Random Commen with Id 167
168,39,0,72,2,Some Random Commen with Id 168
169,39,0,59,5,Some Random Commen with Id 169
170,39,0,132,7,Some Random Commen with Id 170
171,39,0,124,9,Some Random Commen with Id 171
172,39,0,22,4,Some Random Commen with Id 172
